,g,layers,epoch,kt,avg
229,GRP,2,15,0.7414960401252499,0.23643562899350185
230,GRP,2,15,0.7488343535076122,0.22629660324456938
231,GRP,2,15,0.7587191137920003,0.21168276583217846
232,GRP,2,15,0.7665560196350759,0.19990211359334684
233,GRP,2,15,0.7767727259090442,0.1851777433097707
234,GRP,2,15,0.7853985087017692,0.17081044825495328
235,GRP,2,15,0.7913255243003641,0.1624608029347706
236,GRP,2,15,0.7936402920752285,0.1598164457497191
237,GRP,2,15,0.7994029099325797,0.15329708373493867
238,GRP,2,15,0.7997697975437559,0.15374982287884134
239,GRP,2,15,0.8041909079658509,0.14649355981076057
240,GRP,3,15,0.8268385187787294,0.09826797618281771
241,GRP,3,15,0.8344009501519594,0.09359028494317988
242,GRP,3,15,0.8393205557213672,0.08885519601249908
243,GRP,3,15,0.84012252175296,0.08793354636868732
244,GRP,3,15,0.8408682246779794,0.08700018006751285
245,GRP,3,15,0.8502862838978068,0.07623529968334619
246,GRP,3,15,0.8542617353023841,0.07080308265409435
247,GRP,3,15,0.8556297816312993,0.06999489334229768
248,GRP,3,15,0.8571710957508522,0.06896613087793264
249,GRP,3,15,0.8562199098660107,0.06987486141442423
250,GRP,3,15,0.8572840770057197,0.0690109579689323
251,GRP,3,15,0.855544914198197,0.07134475477170076
252,GRP,3,15,0.8564790919302118,0.06991697459843615
253,GRP,3,15,0.8538360401653016,0.0737760744616658
254,GRP,3,15,0.8546360730092151,0.07317031467211262
255,GRP,4,15,0.8359533199429083,0.09576842583176068
256,GRP,4,15,0.8308124082590211,0.10664191142273825
257,GRP,4,15,0.8338522999742859,0.10249122129045875
258,GRP,4,15,0.8358254322620627,0.09991272016502442
259,GRP,4,15,0.8379800342951862,0.09563927841582147
260,GRP,4,15,0.8397579591277917,0.09344795201098464
261,GRP,4,15,0.8390854110280834,0.09333481919040477
262,GRP,4,15,0.84033913058287,0.09299851202113604
263,GRP,4,15,0.8411486356102225,0.092037189098428
264,GRP,4,15,0.8417592903065507,0.09148736312726204
265,GRP,4,15,0.8418630840284196,0.09108988932597949
266,GRP,4,15,0.841834808672588,0.09102354703587505
267,GRP,4,15,0.8439160801771054,0.08840109348289438
268,GRP,4,15,0.8429492919911891,0.08905158909711887
269,GRP,4,15,0.8452509771573886,0.08594749711964685
270,GRP,5,15,0.802462549259845,0.14276447107488593
271,GRP,5,15,0.825571108364905,0.11282475156883175
272,GRP,5,15,0.8268822758615137,0.11024507476952135
273,GRP,5,15,0.8301140769428395,0.10699004709459786
274,GRP,5,15,0.8390435980416872,0.09555960441707752
275,GRP,5,15,0.8418441108366421,0.09161788421902482
276,GRP,5,15,0.8415555393244251,0.09452105645522134
277,GRP,5,15,0.8383167631844881,0.09914809032563279
278,GRP,5,15,0.8356083505182234,0.104938853084806
279,GRP,5,15,0.8331177404783368,0.11101762787218789
