,gtype_train,seed_train_graphs,graph,nodes,size,copies,epochs,kendalltau,std
55,GRP,1,2-soc-Epinions,10000,100000,40,10,0.865657254368997,0.0
56,GRP,1,2-soc-Epinions,10000,100000,40,11,0.866884708654831,0.0
57,GRP,1,2-soc-Epinions,10000,100000,40,12,0.867159390640686,0.0
58,GRP,1,2-soc-Epinions,10000,100000,40,13,0.8669473178536126,0.0
59,GRP,1,2-soc-Epinions,10000,100000,40,14,0.8657144719811204,0.0
60,ER,1,3-email-EuAll,10000,300000,40,0,0.8107145174207694,0.0
61,ER,1,3-email-EuAll,10000,300000,40,1,0.8953236388946857,0.0
62,ER,1,3-email-EuAll,10000,300000,40,2,0.9943610368518185,0.0
63,ER,1,3-email-EuAll,10000,300000,40,3,0.9956188546446855,0.0
64,ER,1,3-email-EuAll,10000,300000,40,4,0.9956154188233016,0.0
65,ER,1,3-email-EuAll,10000,300000,40,5,0.9959178913811699,0.0
66,ER,1,3-email-EuAll,10000,300000,40,6,0.9959231665938563,0.0
67,ER,1,3-email-EuAll,10000,300000,40,7,0.9959409440593737,0.0
68,ER,1,3-email-EuAll,10000,300000,40,8,0.9959883694284223,0.0
69,ER,1,3-email-EuAll,10000,300000,40,9,0.9953642505737527,0.0
70,ER,1,3-email-EuAll,10000,300000,40,10,0.9937996529379092,0.0
71,ER,1,3-email-EuAll,10000,300000,40,11,0.9844234278030196,0.0
72,ER,1,3-email-EuAll,10000,300000,40,12,0.9557148902056594,0.0
73,ER,1,3-email-EuAll,10000,300000,40,13,0.9142538825081972,0.0
74,ER,1,3-email-EuAll,10000,300000,40,14,0.8206045207767007,0.0
75,GRP,1,3-email-EuAll,10000,300000,40,0,0.7954777971112784,0.0
76,GRP,1,3-email-EuAll,10000,300000,40,1,0.8093465094767741,0.0
77,GRP,1,3-email-EuAll,10000,300000,40,2,0.8359791158460321,0.0
78,GRP,1,3-email-EuAll,10000,300000,40,3,0.9896233237187173,0.0
79,GRP,1,3-email-EuAll,10000,300000,40,4,0.9922092094714599,0.0
80,GRP,1,3-email-EuAll,10000,300000,40,5,0.9960145212199545,0.0
81,GRP,1,3-email-EuAll,10000,300000,40,6,0.9963456598851083,0.0
82,GRP,1,3-email-EuAll,10000,300000,40,7,0.996359252450277,0.0
83,GRP,1,3-email-EuAll,10000,300000,40,8,0.99636301713795,0.0
84,GRP,1,3-email-EuAll,10000,300000,40,9,0.9963753843521125,0.0
85,GRP,1,3-email-EuAll,10000,300000,40,10,0.9963948055751384,0.0
86,GRP,1,3-email-EuAll,10000,300000,40,11,0.9957697091496074,0.0
87,GRP,1,3-email-EuAll,10000,300000,40,12,0.9942061837334966,0.0
88,GRP,1,3-email-EuAll,10000,300000,40,13,0.9942031443084243,0.0
89,GRP,1,3-email-EuAll,10000,300000,40,14,0.9942062045346648,0.0
90,ER,1,4-web-Google,10000,900000,40,0,0.7999665002578069,0.0
91,ER,1,4-web-Google,10000,900000,40,1,0.8120013935229793,0.0
92,ER,1,4-web-Google,10000,900000,40,2,0.8091820785446574,0.0
93,ER,1,4-web-Google,10000,900000,40,3,0.8077385626745771,0.0
94,ER,1,4-web-Google,10000,900000,40,4,0.8037729241155828,0.0
95,ER,1,4-web-Google,10000,900000,40,5,0.7962727626669791,0.0
96,ER,1,4-web-Google,10000,900000,40,6,0.7895931293657357,0.0
97,ER,1,4-web-Google,10000,900000,40,7,0.7838944621605223,0.0
98,ER,1,4-web-Google,10000,900000,40,8,0.7773100232944894,0.0
99,ER,1,4-web-Google,10000,900000,40,9,0.7755574673768341,0.0
100,ER,1,4-web-Google,10000,900000,40,10,0.7761787114037275,0.0
101,ER,1,4-web-Google,10000,900000,40,11,0.7748051492987209,0.0
102,ER,1,4-web-Google,10000,900000,40,12,0.7684347091219628,0.0
103,ER,1,4-web-Google,10000,900000,40,13,0.7732289302733091,0.0
104,ER,1,4-web-Google,10000,900000,40,14,0.7751089288706425,0.0
105,GRP,1,4-web-Google,10000,900000,40,0,0.8096420308452132,0.0
106,GRP,1,4-web-Google,10000,900000,40,1,0.8113469559366947,0.0
107,GRP,1,4-web-Google,10000,900000,40,2,0.8136170539457995,0.0
108,GRP,1,4-web-Google,10000,900000,40,3,0.8147615517595829,0.0
109,GRP,1,4-web-Google,10000,900000,40,4,0.8152061011142735,0.0
110,GRP,1,4-web-Google,10000,900000,40,5,0.8158133218891658,0.0
111,GRP,1,4-web-Google,10000,900000,40,6,0.8161776283396956,0.0
112,GRP,1,4-web-Google,10000,900000,40,7,0.8164521196426665,0.0
113,GRP,1,4-web-Google,10000,900000,40,8,0.816489976945152,0.0
114,GRP,1,4-web-Google,10000,900000,40,9,0.8168682427531317,0.0
115,GRP,1,4-web-Google,10000,900000,40,10,0.8170050591747018,0.0
116,GRP,1,4-web-Google,10000,900000,40,11,0.8172932597933935,0.0
117,GRP,1,4-web-Google,10000,900000,40,12,0.8171201249452861,0.0
118,GRP,1,4-web-Google,10000,900000,40,13,0.8174705133272379,0.0
119,GRP,1,4-web-Google,10000,900000,40,14,0.8174327479767186,0.0
