,g,layers,emb,epoch,kt,avg
289,ER,4,2,4,,
290,ER,4,2,5,,
291,ER,4,2,6,,
292,ER,4,2,7,,
293,ER,4,2,8,,
294,ER,4,2,9,,
295,ER,4,2,10,,
296,ER,4,2,11,,
297,ER,4,2,12,,
298,ER,4,2,13,,
299,ER,4,2,14,,
300,ER,7,2,0,-0.10169629558974717,0.1375622806504799
301,ER,7,2,1,,
302,ER,7,2,2,,
303,ER,7,2,3,,
304,ER,7,2,4,,
305,ER,7,2,5,,
306,ER,7,2,6,,
307,ER,7,2,7,,
308,ER,7,2,8,,
309,ER,7,2,9,,
310,ER,7,2,10,,
311,ER,7,2,11,,
312,ER,7,2,12,,
313,ER,7,2,13,,
314,ER,7,2,14,,
315,ER,1,4,0,0.7600489799253044,0.08724508788207593
316,ER,1,4,1,0.787872865433064,0.0848083938346477
317,ER,1,4,2,0.8037308038917444,0.08203892038780175
318,ER,1,4,3,0.8119501059940321,0.07981467039178905
319,ER,1,4,4,0.8166560446620557,0.0773796070198687
320,ER,1,4,5,0.8204625181121685,0.07398721230209086
321,ER,1,4,6,0.8242039471270617,0.07058225105636463
322,ER,1,4,7,0.8291780406921209,0.06597735792496259
323,ER,1,4,8,0.8416531694738234,0.06187403263040025
324,ER,1,4,9,0.8535001154817795,0.060193173008902236
325,ER,1,4,10,0.8577479637535104,0.059475820265966456
326,ER,1,4,11,0.8594636356609187,0.05847172019383327
327,ER,1,4,12,0.8609914738054478,0.05755682228318926
328,ER,1,4,13,0.8620689726110987,0.056411233223827205
329,ER,1,4,14,0.8637832731782898,0.054846085707822276
330,ER,4,4,0,0.7984761565312268,0.08216557328593661
331,ER,4,4,1,0.8231680522721305,0.06868661059186391
332,ER,4,4,2,0.8331724598987982,0.06533092014812049
333,ER,4,4,3,0.8355118727597624,0.06471917003430609
334,ER,4,4,4,0.8378337667952142,0.06456558472323182
335,ER,4,4,5,0.8437499160333278,0.0638571660171906
336,ER,4,4,6,0.8542963499855574,0.06065212849597426
337,ER,4,4,7,0.8606257849538815,0.06338392354125237
338,ER,4,4,8,0.8650689098350204,0.05923199586603767
339,ER,4,4,9,0.8675874279846342,0.05656137735989683
340,ER,4,4,10,0.8690109206551405,0.05526566745221
341,ER,4,4,11,0.8696107389741631,0.05461570217858362
342,ER,4,4,12,0.8703459000315412,0.05498666381490677
343,ER,4,4,13,0.8711654215917417,0.053916998408441344
344,ER,4,4,14,0.8717219900120051,0.0537617417878339
345,ER,7,4,0,0.7993791159330531,0.09521214762177212
346,ER,7,4,1,0.8125456266513771,0.08352462620146138
347,ER,7,4,2,0.8217518815569868,0.07979498050578512
348,ER,7,4,3,0.8406795980936346,0.0636094728997884
349,ER,7,4,4,0.8418138187377524,0.06192208581556905
350,ER,7,4,5,0.8658380686832858,0.0495149545924429
351,ER,7,4,6,0.8730196491584978,0.049347894680195896
352,ER,7,4,7,0.8780724398022919,0.04497941252019893
353,ER,7,4,8,0.8782337450337593,0.04698272601548626
354,ER,7,4,9,0.8821124967961407,0.043688626584179976
355,ER,7,4,10,0.8814641118908181,0.04298983080534737
356,ER,7,4,11,0.8802932522721818,0.04512872354843744
