,graph,nodes,size,copies,epochs,kendalltau,avg
49,1-wiki-Vote,10,10000,40,4,0.8804312193615463,0.0
50,1-wiki-Vote,10,10000,40,5,0.880432204330394,0.0
51,1-wiki-Vote,10,10000,40,6,0.880429671553357,0.0
52,1-wiki-Vote,10,10000,40,7,0.8804305158123694,0.0
53,1-wiki-Vote,10,10000,40,8,0.880429671553357,0.0
54,1-wiki-Vote,10,10000,40,9,0.8804281237451678,0.0
55,1-wiki-Vote,10,10000,40,10,0.8804279830353324,0.0
56,1-wiki-Vote,10,10000,40,11,0.8804275609058262,0.0
57,1-wiki-Vote,10,10000,40,12,0.8804267785891587,0.0
58,1-wiki-Vote,10,10000,40,13,0.8804248874189539,0.0
59,1-wiki-Vote,10,10000,40,14,0.8804239024501062,0.0
60,1-wiki-Vote,100,10000,1,0,0.9061657818656471,0.0
61,1-wiki-Vote,100,10000,1,1,0.9184017684412255,0.0
62,1-wiki-Vote,100,10000,1,2,0.9225487687098054,0.0
63,1-wiki-Vote,100,10000,1,3,0.9245982074622439,0.0
64,1-wiki-Vote,100,10000,1,4,0.925220285644498,0.0
65,1-wiki-Vote,100,10000,1,5,0.9252494125804235,0.0
66,1-wiki-Vote,100,10000,1,6,0.925020196258575,0.0
67,1-wiki-Vote,100,10000,1,7,0.9248457160626928,0.0
68,1-wiki-Vote,100,10000,1,8,0.9246630368687312,0.0
69,1-wiki-Vote,100,10000,1,9,0.9244617189219166,0.0
70,1-wiki-Vote,100,10000,1,10,0.9242730270326603,0.0
71,1-wiki-Vote,100,10000,1,11,0.924077158941799,0.0
72,1-wiki-Vote,100,10000,1,12,0.9238449877134074,0.0
73,1-wiki-Vote,100,10000,1,13,0.9236581250520111,0.0
74,1-wiki-Vote,100,10000,1,14,0.9235044699117665,0.0
75,1-wiki-Vote,100,10000,10,0,0.9254549896499265,0.0
76,1-wiki-Vote,100,10000,10,1,0.9235632487566443,0.0
77,1-wiki-Vote,100,10000,10,2,0.9228277963133815,0.0
78,1-wiki-Vote,100,10000,10,3,0.9212661985602361,0.0
79,1-wiki-Vote,100,10000,10,4,0.9202049649817334,0.0
80,1-wiki-Vote,100,10000,10,5,0.9208765730260444,0.0
81,1-wiki-Vote,100,10000,10,6,0.9205601166062549,0.0
82,1-wiki-Vote,100,10000,10,7,0.9207151788448533,0.0
83,1-wiki-Vote,100,10000,10,8,0.9198695127341665,0.0
84,1-wiki-Vote,100,10000,10,9,0.9193002007401831,0.0
