,g,layers,epoch,kt,std
33,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,3,0.8596528976260318,0.054292905482852497
34,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,4,0.86841134331569,0.05197016676424084
35,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,5,0.8739475598815533,0.04986977124825904
36,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,6,0.8779581575126748,0.049045588070588356
37,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,7,0.879546984434322,0.0486109256742304
38,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,8,0.8806146316638715,0.04864803591821653
39,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,9,0.8815879532721305,0.048671074687112216
40,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,10,0.881653899031239,0.04867409531537167
41,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,11,0.881983691222978,0.048344502448693996
42,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,12,0.8820395225268379,0.04824900999605717
43,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,13,0.8813369131322887,0.0484110121750773
44,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,3,14,0.8817688135476549,0.048467039923000846
45,ER_15_graphs_1000_500_nodes_10_genseed_5_train_10_copies_10000_size_10_splitseed.pickle,4,0,0.7545765733328966,0.06877928982089547
